X Nao,X MoCap,X Corr
0.0798100606,0.018375,0.0992921359
0.0790926963,0.018721,0.0992768401
0.0783813745,0.017721,0.0993209888
0.0776777491,0.015484,0.0994190988
0.076300621,0.012444,0.0995509853
0.0756299347,0.009399,0.0996814239
0.0743301883,0.006667,0.0997970364
0.0737031698,0.004535,0.0998863265
0.0724988878,0.003211,0.0999413656
0.071923241,0.002419,0.0999741388
0.071366109,0.002051,0.0999893283
0.0708282739,0.002504,0.0999706269
0.0703101754,0.003476,0.0999303747
0.069335781,0.005046,0.0998649998
0.0688805804,0.007086,0.0997793923
0.0684472024,0.009086,0.0996947374
0.0680363625,0.0111,0.0996087636
0.0676483512,0.01282,0.0995347631
