Format Version,1.21,Take Name,PiernaI,Capture Frame Rate,120.000000,Export Frame Rate,30.000000,Capture Start Time,2017-11-09 10.31.32.923 AM,Total Frames in Take,751,Total Exported Frames,189,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Head,Head,Head,RArm,RArm,RArm,RLeg,RLeg,RLeg,LLeg,LLeg,LLeg,Torso,Torso,Torso,LArm,LArm,LArm
,,"8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357067","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357068","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E357069","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706E","8392B20CF49E35706F","8392B20CF49E35706F","8392B20CF49E35706F"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
159,5.300000,-0.210091,1.692586,0.044613,-0.169992,0.846203,-0.236612,-0.099430,0.092469,-0.232792,-0.134336,0.086824,0.190806,-0.199096,1.116116,0.022916,-0.106478,0.837587,0.345681
160,5.333333,-0.206852,1.692738,0.046822,-0.167952,0.845610,-0.236045,-0.099341,0.092366,-0.232803,-0.134058,0.087078,0.190728,-0.200755,1.114888,0.023498,-0.106600,0.833924,0.347132
161,5.366667,-0.203993,1.693097,0.047024,-0.164569,0.843698,-0.237972,-0.099290,0.092306,-0.232816,-0.133682,0.087276,0.190807,-0.202505,1.113151,0.024224,-0.107563,0.830203,0.346614
162,5.400000,-0.201359,1.694046,0.046261,-0.158888,0.841463,-0.242217,-0.099296,0.092319,-0.232841,-0.133752,0.087358,0.190648,-0.204063,1.112210,0.025126,-0.109132,0.827065,0.344021
163,5.433333,-0.199549,1.695310,0.044771,-0.151403,0.839467,-0.247172,-0.099429,0.092369,-0.232847,-0.133852,0.087061,0.190804,-0.204783,1.112694,0.025565,-0.112160,0.826020,0.339683
164,5.466667,-0.198160,1.696261,0.043075,-0.142821,0.837698,-0.251883,-0.099522,0.092351,-0.232800,-0.134022,0.086987,0.190809,-0.204876,1.113708,0.025329,-0.117006,0.825870,0.334058
165,5.500000,-0.197115,1.696898,0.041532,-0.134726,0.835685,-0.255556,-0.099552,0.092314,-0.232794,-0.134087,0.086953,0.190735,-0.204969,1.114163,0.024123,-0.123225,0.826134,0.327929
166,5.533333,-0.196278,1.697146,0.040252,-0.127845,0.833595,-0.258313,-0.099530,0.092253,-0.232849,-0.134089,0.086945,0.190655,-0.205291,1.113781,0.022506,-0.130518,0.826228,0.321267
167,5.566667,-0.195830,1.697135,0.039098,-0.121915,0.831783,-0.260515,-0.099523,0.092136,-0.232897,-0.134158,0.087102,0.190474,-0.205562,1.113144,0.020806,-0.138846,0.827188,0.314741
168,5.600000,-0.195795,1.697149,0.037824,-0.115974,0.830559,-0.263455,-0.099485,0.092100,-0.232984,-0.134175,0.087096,0.190403,-0.205628,1.113003,0.019356,-0.146538,0.828090,0.308359
